sepal_length,sepal_width,petal_length,petal_width,species
6.4,3.2,5.3,2.3,2
6.5,3.0,5.5,1.8,2
7.7,3.8,6.7,2.2,2
7.7,2.6,6.9,2.3,2
6.0,2.2,5.0,1.5,2
6.9,3.2,5.7,2.3,2
5.6,2.8,4.9,2.0,2
7.7,2.8,6.7,2.0,2
6.3,2.7,4.9,1.8,2
6.7,3.3,5.7,2.1,2
7.2,3.2,6.0,1.8,2
6.2,2.8,4.8,1.8,2
6.1,3.0,4.9,1.8,2
6.4,2.8,5.6,2.1,2
7.2,3.0,5.8,1.6,2
7.4,2.8,6.1,1.9,2
7.9,3.8,6.4,2.0,2
6.4,2.8,5.6,2.2,2
6.3,2.8,5.1,1.5,2
6.1,2.6,5.6,1.4,2
7.7,3.0,6.1,2.3,2
6.3,3.4,5.6,2.4,2
6.4,3.1,5.5,1.8,2
6.0,3.0,4.8,1.8,2
6.9,3.1,5.4,2.1,2
6.7,3.1,5.6,2.4,2
6.9,3.1,5.1,2.3,2
5.8,2.7,5.1,1.9,2
6.8,3.2,5.9,2.3,2
6.7,3.3,5.7,2.5,2
6.7,3.0,5.2,2.3,2
6.3,2.5,5.0,1.9,2
6.5,3.0,5.2,2.0,2
6.2,3.4,5.4,2.3,2
5.9,3.0,5.1,1.8,2
5.321317012545733,3.49111574152458,1.0827255238393114,0.09318883038136945,0
4.902569610842371,2.8987926519921463,1.4373133239634321,0.2649767132928215,0
4.676276416345615,3.2184385151987787,1.378620871458614,0.22667657632285054,0
4.624860194896179,2.8751862484054134,1.502961754111873,0.18767035633687892,0
5.17403098772388,3.535256221428815,1.4784575986703214,0.2596306862280864,0
5.304837039553331,3.822219053837577,1.5240319789902577,0.3944588965720982,0
4.497588460176725,3.2322173262760168,1.2279241471043014,0.38068055645265664,0
4.930966848207172,3.555673566632789,1.674857037880649,0.29806797279902947,0
4.346653435629838,2.839977159002411,1.4021990572145553,0.15773034499079874,0
4.859728313630029,3.110683882809324,1.6432597649807585,0.0,0
5.44470015458893,3.912393270400587,1.542911303350943,0.3620256144058408,0
4.730769037911758,3.3908171771551805,1.7019210659429052,0.054060564205276995,0
4.754207548646848,2.8945236589182017,1.5546757220632768,0.2644311855489193,0
4.254644052513176,2.88313671609878,0.9719581712520076,0.12967899905589544,0
5.731502090347179,3.9107218272921416,1.1591562878458799,0.28827615895849057,0
5.708426123375262,4.391367516682705,1.4369731470670921,0.26777816451658243,0
5.359466873283424,3.8343866459592513,1.3966323522561097,0.3123129113572839,0
5.034017353638512,3.6229053176338386,1.3722141145109512,0.3436202626848067,0
5.789455026872444,3.8427298878696283,1.6137544698238788,0.42264161092160446,0
5.188769885471752,3.789937332996117,1.379418403382315,0.35623395364780097,0
5.320341651778629,3.349051692566195,1.673677514226448,0.06153201125578206,0
5.162927441491016,3.684940498367586,1.5784136715420463,0.17731938345819387,0
4.704661712610096,3.5981827913445064,1.0296712169011901,0.29999406225982506,0
5.183293293169114,3.367849244259008,1.7474717852413877,0.5960775780925636,0
4.6998899625396025,3.3436009033759952,1.9610362216346044,0.14226852838186743,0
4.894944165813488,3.2040664508904912,1.4753997212074503,0.2579677501720714,0
5.076209176085943,3.699256854180433,1.6457082665600822,0.38686797097557835,0
5.274900280359659,3.6017975351395632,1.505941923012415,0.19221725973674822,0
5.0979230658178,3.3244152456223808,1.3386541030888042,0.06597541079265451,0
4.7517552597237085,3.1999618143969903,1.5180285051527107,0.021275687509603597,0
4.787425007618105,3.029040911345124,1.5567193731479583,0.25640342035683883,0
5.27012299094339,3.459646265004544,1.5544869382059927,0.3856712693337835,0
5.219578562207498,3.984342457802449,1.4785345033440918,0.17506201125901028,0
5.676821686014946,4.221375210847907,1.3561307586709626,0.2649716584562566,0
4.906251174004439,3.0570111216965796,1.5688050836748297,0.17104968754825936,0
4.82869303456837,3.2191643821965736,1.1857809943801498,0.209139503100439,0
5.518893809946488,3.3755670717016977,1.3751630865781783,0.16435867900270734,0
5.0205188813549695,3.5042695920673914,1.2826477184948952,0.0,0
4.525177511802946,3.109790393782806,1.3955164454768705,0.3045522922039292,0
5.04950950428511,3.478808514311937,1.507711649379958,0.0874373165897318,0
4.946335854887774,3.4677861844701954,1.2369015953759863,0.28112645812871384,0
4.686340370707006,2.321873203555231,1.2571233178620074,0.31752443204923253,0
4.387698213692059,3.1275427061694754,1.2082037609839134,0.2308989175689362,0
4.965492299660778,3.346808673247934,1.365707510676161,0.5862831240616017,0
5.12588379073785,3.6888688033566206,1.7496035165377426,0.2999254830411928,0
4.828047972930397,2.8527282727569396,1.5313049041592561,0.19199386965738335,0
5.13180104916495,3.9375129168946503,1.4952803690660432,0.09567862458858184,0
4.637810838738443,3.2194809296235456,1.5026766435886334,0.18482589649411424,0
5.259686897859015,3.6709077350121824,1.47617382903135,0.27872317587391504,0
5.057417517537412,3.5265425896320055,1.5824655565738093,0.0,0
6.993342832269941,3.2613098688938313,4.628716714647359,1.564326143683933,1
6.404979587374445,3.2515091629822734,4.36206658612209,1.5459278604855327,1
6.951737332986148,3.367144737297791,4.9707953352314345,1.6059088045120427,1
5.4633096305179505,2.246178087979671,3.9437242166099846,1.267378822635233,1
6.308115031487202,2.9041276373980422,4.502290386633807,1.4153067884625876,1
5.754407796500333,2.8414552192158125,4.41801703186087,1.3005272372603232,1
6.362989737226355,3.1072314597960706,4.704570665123714,1.4521140450550352,1
4.9212270840552055,2.403175945557799,3.4184633434643503,0.9358456945693567,1
6.452012584517566,3.0390663660998984,4.58676632708453,1.2705286492635017,1
5.25859339877931,2.56266980921687,4.0863078491358635,1.3649670943684975,1
4.971908300563798,2.0312642211982492,3.4248562611156137,1.0103835018837195,1
5.818223132916091,2.926204184074686,4.099719797056653,1.4026079998440515,1
5.898912356016619,2.237202871788793,4.007822993477003,1.031437446386755,1
6.201309899508267,3.090112704565479,4.585776843342229,1.3525659872149995,1
5.594209322393475,2.988647734310264,3.581287226838058,1.4776692348887008,1
6.599396347405294,3.1905844908364176,4.271584228991288,1.2878216723100713,1
5.652028071405236,2.8847875555084426,4.534506591907069,1.4845322495286526,1
5.899102256649387,2.5482685323851637,3.938795560476342,0.995606941069111,1
6.1803118928487395,2.077115487170055,4.433809387149597,1.4647905095449185,1
5.628871852712185,2.598619135946529,3.7973882782585666,1.000466781310579,1
6.131691810177327,3.1772695400999442,4.751342331209138,1.7346308831397512,1
6.080778285940098,2.756735704540506,3.9485836440136373,1.1799069011460952,1
6.047950423531634,2.5562115652024358,4.7717856096819755,1.3444856048216658,1
5.89393714093472,2.954589031765867,4.717653035595324,1.2146041841677797,1
6.31103448321325,2.6995730460937506,4.245381435974408,1.3558648493003624,1
6.7200140246791475,3.042444709588821,4.322055320486384,1.2609469706524667,1
6.828588858610109,2.7470211660497754,4.8360062197247595,1.4550373378011203,1
6.519488093691702,2.9343378525608217,4.97629000806362,1.7735685266751462,1
6.095926687730191,3.0020840506717494,4.278576997903892,1.5880110269695429,1
5.685919978384651,2.719000614845742,3.439317723668931,1.0102629831150651,1
5.404405874191311,2.2810800286040034,3.6600546384670753,1.0788071760528344,1
5.442706000016076,2.4175596599904887,3.5095254299128733,1.0580320615310639,1
5.643006601623284,2.680559102484594,3.7847984555157552,1.2682715951157488,1
5.977907882185202,2.8436790274734416,5.096680989744128,1.598199713265752,1
5.461817227461969,2.9521032669684386,4.483558037944951,1.3542873248345784,1
5.913111061339894,3.313559575026073,4.428448898021132,1.5859821185857883,1
6.702442692905006,3.0117549351984354,4.7040701168027415,1.4727537196568838,1
6.392944591425789,2.3961342088276663,4.534716442916438,1.3874725756776694,1
5.483230068463065,3.096479807958143,4.10817396455692,1.2804941939714642,1
5.4065158736556675,2.5064446399913543,3.9841741745053367,1.3796297859589028,1
5.526819150749762,2.6059401448413286,4.45322972609387,1.1891847699611864,1
6.1054075697927805,3.0235207121546006,4.621514628357016,1.462489131450376,1
5.943283970941476,2.5346029826034044,3.908280379602596,1.2311561570964904,1
4.947931203323208,2.389878350977027,3.395702117676669,1.021461277447107,1
5.743406252792343,2.51176337802119,4.316155549938214,1.1216530350859797,1
5.793469839540109,2.895636291601221,4.197634020497358,1.243991865002335,1
5.65773070806706,2.9627921392458054,4.096749097080283,1.3186871529303548,1
6.238502644134514,2.8958538874502864,4.352443673442637,1.345006132451533,1
5.095052776092244,2.5480927352466916,2.9724075785999107,1.0615392097305327,1
5.664261308595906,2.752443393700882,3.9004388893724244,1.6003952326634674,1
6.143915940851486,3.438672362649475,6.042088455203967,2.6081541246457194,2
5.657177711338519,2.8669747472409775,4.898920365424556,2.0035473957822743,2
7.258856343612721,2.9859577675419064,5.872649127478424,2.0217404439524786,2
6.22329099282547,2.8201711315211897,5.703354012468429,1.683176881487103,2
6.544844834810191,2.9855345309697205,6.019011633174887,2.1695883233956397,2
7.436902984506261,2.9860584877902445,6.671400025333244,2.210065903449736,2
4.927960865690818,2.545115420483646,4.535132272755557,1.5367151715677951,2
7.23861202342498,3.0903229375702472,6.231315053276739,2.102794591465471,2
6.821746826876683,2.536102085678223,5.640720516442754,1.8160808212490516,2
7.238155996116317,3.7532228695131753,6.16924370416399,2.595407040470842,2
6.474744058666589,3.127356159396614,5.040780940960213,2.155569586986404,2
6.59052594966763,2.7310246409256513,5.480121072787016,1.7465332792335595,2
6.737773944835627,2.8613320263675734,5.6880159980281855,2.3345553117445697,2
5.746759551945189,2.2628650888118895,5.068590014003438,1.953707726707187,2
5.612668160617887,2.706741647146517,4.967381606688269,2.4547544248704694,2
6.315435165957139,3.1092763553385567,5.095959330044786,2.0820541315829284,2
6.599125169900414,2.861813425359219,5.58723098069004,1.9311922667298114,2
7.617798165823683,3.8472450162291376,6.766387553987743,2.2675737304527854,2
7.767746768236271,2.5779609708033875,6.917686004997398,2.298220231758341,2
6.05226750467905,2.163592897163464,5.0235962299383266,1.6477208005176815,2
6.899901559482688,3.389946409714176,5.62112992230745,2.474003643490578,2
5.746898594438495,2.844629643265623,4.8369839757963415,1.8428287994591712,2
7.7058195362900905,2.6396524687658487,6.766388732481406,1.8969910306590472,2
6.135817089104596,2.6716695210522334,4.9364207373389375,1.9433859094893227,2
6.700128280071535,3.2480946797264223,5.656340310367768,2.021016129652308,2
7.169490997435832,3.117453559893444,6.053633436860756,1.9755790969060079,2
6.21728378332338,2.6751575706642208,4.767509546463565,1.7247265771339346,2
6.1488158743971155,2.9621645963329204,4.869698746812604,1.8777009676281258,2
6.492563101141265,2.720098720521987,5.536990828490344,2.2707662680749707,2
7.1988490762659145,2.9606559447030616,5.728358058445347,1.5367541000001916,2
7.517034776704169,2.928365452363865,6.205614713359904,1.8967108622067033,2
8.002201602519966,3.889542802296994,6.41908768801364,2.0374328445945666,2
6.451556525451168,2.6731212479362645,5.577481363162352,2.1632285148036217,2
6.441598472447417,2.6936448856292863,5.0389665179739636,1.5905425117692937,2
6.198960598276524,2.6538644194849694,5.548138447587747,1.2875806131814063,2
7.740917968812729,3.064538532441284,5.802804215851291,2.3674912734711486,2
6.199882912480896,3.3147536999473157,5.679416330601778,2.470140295059516,2
6.41052409134186,3.0562489152463916,5.555702141800767,1.7155046897875081,2
6.060964856550656,2.8230033867258735,4.82590252271067,1.73396207507529,2
6.79681775725749,3.235904819900835,5.518008912755855,2.1492828240316717,2
6.5496874336514885,3.059617945178535,5.690861471961168,2.3546554954064836,2
6.77879146649735,2.9971211040851746,5.136065537570616,2.382038476861807,2
5.729522721517809,2.5277380829394542,5.083326312399992,1.791166920802486,2
6.70007874781011,3.1791876580680376,5.876922125692372,2.3280256592357698,2
6.70935216550783,3.3979008211781117,5.51978258237662,2.4758706998771824,2
6.785844515318875,2.959217780876956,5.152709608070787,2.2792279676473073,2
6.269858704458405,2.594801485297214,5.0319913918280825,2.044240180407294,2
6.482141871626906,2.8591645346363217,5.244924358764758,1.8108963409052434,2
6.348864320214961,3.2859687174694776,5.252005422249035,2.253268608233605,2
5.766722522340008,2.9757876733028903,5.056779847704275,2.042762535301996,2
5.041181715321426,3.399577786209858,1.471593749390507,0.20147697706701306,0
5.012798541473251,3.0323817121350762,1.2716381177301297,0.2812477973935863,0
4.649701993180783,3.084482338308295,1.2336142712551694,0.2854885606894445,0
4.609535013904754,3.1018653841260915,1.4692653795753006,0.26533398799492874,0
5.015137699229848,3.5521453784687944,1.5206258769630203,0.04666875748042135,0
5.303459787305836,4.015578772204801,1.5878154653042635,0.48475600195260626,0
4.528477457236131,3.3983858308594117,1.3447143297625137,0.21293142774748158,0
4.84618137458185,3.2376837737999997,1.3636448645057584,0.2797585326934806,0
4.567024636448136,2.8462653559395417,1.3934716000590806,0.3427781822005769,0
4.91880237048596,3.0441580779136106,1.3730805355112576,0.01888393755904748,0
5.510458465964026,3.736828859906111,1.562119723736203,0.2919894118842882,0
4.840284392300705,3.3377681773362182,1.6446860844354578,0.13904416629184807,0
4.834003134316805,2.961598513749543,1.469572884002065,0.15648400015334207,0
4.356341045238775,3.0334769593192537,1.3132430238553052,0.0,0
5.634556003231067,4.17656658770412,1.0504941744072447,0.18924923613664824,0
5.496200822514658,4.429250561957366,1.5012425942001384,0.40951675808704463,0
5.388759633857704,3.885313786888838,1.449976206687345,0.44763596703370395,0
5.096180943970059,3.536803969835621,1.4033258273172662,0.2622542890364439,0
5.782294503868696,3.6940271258024864,1.7991066357651118,0.31858810491650214,0
5.163553222540145,3.8325491066920647,1.4643142765259085,0.2594597141254872,0
5.410770105294418,3.348911715345503,1.8082563344949671,0.22888603520934703,0
5.136524331623691,3.5488048351310657,1.4015844043781915,0.4472874437011074,0
4.559522989440963,3.630653554658363,0.7273432712701131,0.19239689711878344,0
5.160636089733735,3.201842196727561,1.6072840534676507,0.5584764336900252,0
4.848879694753114,3.5271136263940734,1.8443304410836703,0.08499827329711845,0
4.971401582824368,2.992384891661312,1.5104694828514238,0.1912455905476051,0
5.060361464404534,3.4516252752077463,1.6623720171650365,0.3853136440218835,0
5.232649258476002,3.3807727749142162,1.180316308009148,0.3286150935130795,0
5.0593064190277985,3.364996096965308,1.2720429024557254,0.12639147408331952,0
4.7005958059248965,3.205966403331193,1.589229356925329,0.09489328498979321,0
4.773250903778219,3.143620045439162,1.4934171474081321,0.19054311886446038,0
5.366000083564701,3.4782985420022183,1.504069435260092,0.499247273423912,0
5.168194317104631,4.161458660440224,1.4551966199188315,0.06349653774218658,0
5.521355196114532,4.149524390886119,1.4985590482516682,0.19551095426397555,0
4.972562824567176,3.1173108836769425,1.5757451101856543,0.22883884331303056,0
4.955628584849556,3.166969777648656,1.065961422633963,0.14725658428201235,0
5.540097535899437,3.6071026523445378,1.4393311673078653,0.14435620555610879,0
4.797942179623413,3.660583475423517,1.4211975015982907,0.07257000826967754,0
4.334139565364923,2.937256424533035,1.5309809741756712,0.18082510823376896,0
5.09112769994328,3.3648970228989645,1.5834767455008314,0.08957594336832615,0
4.921833965850594,3.4328102289122397,1.3281823595940248,0.4089546843497795,0
4.344846196206261,2.458847602447989,1.34692666363871,0.39663605835305993,0
4.339674295042937,3.3528979404392607,1.3325370790060826,0.3444086605419001,0
5.026163898592775,3.509727148003658,1.5444773901972642,0.7427013323566323,0
5.02273552664505,3.860227484769894,1.9762015236606636,0.3932632904210393,0
4.791820035300267,2.9527035690170926,1.332709988084154,0.3521804843207068,0
5.104873101585407,3.6797647774905204,1.6404543188554668,0.1189726493795238,0
4.678241809278179,3.1434897906330814,1.485492058454443,0.19076901931277584,0
5.374318614263895,3.619486901413367,1.3906430873390638,0.112493554525054,0
4.977860128179478,3.2014826629157898,1.4040244453854926,0.40098379503577214,0
6.992062265182589,3.1324981830437597,4.638658437194245,1.2543994681555912,1
6.355739079570754,3.1819909639156245,4.620433541502336,1.6425581510643732,1
7.067843958888765,3.1366217507724983,4.676345730501761,1.4677518989643856,1
5.333648766587761,2.4133971055959473,4.066423285287998,1.351386343808335,1
6.511088127681102,2.8957199248189545,4.46066235883399,1.448483665515242,1
5.771683241675489,2.6988248975598945,4.538546510400236,1.3165440242293998,1
6.165250798520256,3.317540217092436,4.646038611035157,1.650738624546977,1
4.912979579856993,2.323627469347725,3.487905946107335,1.0131682689527004,1
6.628511178880332,2.9103135613047115,4.555056248397585,1.159936661858309,1
5.161440086225567,2.7473403815834225,3.8602324407638213,1.3684304162069343,1
4.988762018730452,2.0208687008932804,3.6239630785066868,1.0171696980979605,1
5.8336670114625715,3.0448469099333604,4.158316009792454,1.4901209052340902,1
5.964431868220301,2.229146233254096,3.9493518115405184,1.0273060177684021,1
6.253491792369433,2.854588450065208,4.498212742651737,1.6040398686592674,1
5.653568422550974,2.823619295103255,3.6215332281511716,1.3668735902996891,1
6.8295912629753035,3.2346283184899733,4.160037461172111,1.351685256799275,1
5.520156528534682,2.99131189420729,4.460836032220927,1.3848782809268638,1
5.843015049958981,2.6815786556374728,4.114407120650512,1.0726413593476407,1
6.262629259222692,2.3191335748484394,4.347114088364805,1.5052192899350068,1
5.636722128433728,2.518537198628472,3.9996484934211605,1.1013868416497652,1
5.72507770865692,3.312246796709703,4.7923435331135344,1.7626925578588089,1
5.955328503815507,2.9200646337435083,4.066405375488416,1.3210729744723595,1
6.310483564492398,2.448357592496172,5.072860221177702,1.4123498556007705,1
6.288806071952249,2.6503401974500136,4.5631791042097225,1.093921595393454,1
6.2763744798744385,2.77306603655985,4.248842866936902,1.3824530663930061,1
6.635260627801687,3.0360311152981025,4.423767702603979,1.37859148070505,1
6.645213269267631,2.63625553154491,4.879981885823319,1.3492169581124354,1
6.663269761607227,3.100317771678392,5.164986192411066,1.5690705620548062,1
6.117120668641114,2.7303263124501638,4.474774223560558,1.4569074076727153,1
5.610851722531683,2.4258075872565543,3.4842842859072922,0.9465202217358077,1
5.6326996830842555,2.5236162635090156,3.843173711965081,0.991411224533981,1
5.499261351128528,2.4576338086118845,3.6769844811380064,1.0264489392512819,1
5.997661289818935,2.6635808423221143,3.935840096410869,0.9779747049673883,1
5.8848027042729525,2.6331163830494027,4.986291723037401,1.7476147763384335,1
5.311915598778048,3.1321825762759485,4.45527077442964,1.5988230086261024,1
6.059579351484712,3.4490688136047982,4.597953520715775,1.726048905286857,1
6.698158972471157,3.1887501969659073,4.713028852855317,1.595315526206578,1
6.219510340493079,2.400673061600993,4.486687895834372,1.4052556178025852,1
5.624660985155224,3.2054710566935114,4.238245175077798,1.4311954046797721,1
5.712597156717539,2.6119574004479067,4.0648998431373595,1.3800744877956572,1
5.548569830166929,2.5409103768575667,4.311289377623644,1.0945648976913223,1
6.205567844337224,2.9578849023106892,4.6919482756926625,1.30927480199036,1
5.705878298457323,2.597175662894951,3.8730037956700296,1.2057786450219223,1
5.09316800417812,2.371126927931852,3.292742748900665,1.0076581463786882,1
5.612122444507472,2.8357604450340737,4.269940995641006,1.4171230402794972,1
5.79372288828829,2.9101508128169216,4.111663443763525,1.2289432991111027,1
5.863443473210882,2.9301688826544523,4.143894117745901,1.3126046596719632,1
6.1482904404952,2.7981585506091435,4.335410075336475,1.585038718510619,1
5.15268640344819,2.2812909563114228,2.8363298902834737,1.064583728243797,1
5.5902814794308,2.804740388987168,4.028303792398952,1.3420415405370931,1
6.319674992287808,3.400531079876438,6.04778977851356,2.507257532344493,2
5.698756669305659,2.7049233358223583,5.1426138437781415,1.858609522157909,2
7.20624935022458,3.0024933405177086,5.8202353595445375,2.1358849156559443,2
6.238785328976856,2.8232305309028503,5.787646056456365,1.7489618728868532,2
6.577964368910095,2.8809017601330793,5.74664536249565,2.19239720510372,2
7.545121224327952,2.8074001976782013,6.4760278789458185,2.0523506255640864,2
4.810087654731345,2.678131642292991,4.588456974288509,1.7661149760850328,2
7.235562731383638,2.982770586715132,6.3135194292912615,1.9749315015502467,2
6.715572594210249,2.461140100845732,5.645437686850075,1.8531118164093803,2
7.351441815738153,3.596610944742623,6.259415712863757,2.5620873604538423,2
6.4658581188100115,3.279119112179291,5.194116040366566,2.036447417319415,2
6.29881563082394,2.606787771623411,5.531401352387924,2.0026819409428094,2
6.770531771538593,3.0591722875345964,5.466229521654152,2.3710732699869945,2
5.676187550765883,2.4809291407149785,4.8889479438619015,1.950266329122558,2
5.9303753566393995,2.809618037040443,5.084119441541104,2.0795164586382557,2
6.26588152054653,3.264780798297302,5.358431787114279,2.580821543632047,2
6.522456139959602,3.082368600428202,5.493588996268549,1.6721277804061796,2
7.826913355086647,3.8386398629194307,6.700966826396933,2.2645782413393927,2
7.7957595739934185,2.5479012854027583,6.855804574750841,2.3116208899700235,2
6.0659377643974315,2.177314798421338,4.996502251568032,1.4200389444334731,2
7.0075776791371105,3.2616306929602765,5.6906661904558495,2.2486070666310414,2
5.568014558712329,2.6874996168747676,4.962466810309134,1.8552449784435794,2
7.753385982254429,3.0284751380530572,6.918648997836079,1.989120255784538,2
6.254513720856997,2.7999474397799795,4.717810525991764,1.9388632454788426,2
6.744552557233481,3.371674017279746,5.788236603263079,2.182516315740606,2
7.209482188339492,3.0535133548312117,6.152564967725725,1.6806322641334561,2
6.316505908123799,2.7984406684977374,4.863766963470596,1.8336953286597035,2
6.029929189705093,2.9629655916975217,4.973214093002342,1.891995893073834,2
6.433692249772519,2.843501623692512,5.528082222405144,1.9336832803204418,2
7.299817983067337,2.851254633911183,5.865866693840442,1.7273628666500196,2
7.2373897952575135,2.895436356957935,6.224715021608858,1.7960157313046659,2
7.989339634688791,3.6267067220473863,6.490841152699737,2.008780800819404,2
6.404498358005659,2.808557821682988,5.6507809242232865,2.042387074547832,2
6.229347094510246,2.7164595882184974,5.224274109674412,1.506684292304722,2
6.105323344481676,2.604574093310274,5.580678040740985,1.2732770963089857,2
7.7374059483755655,3.1170833832902156,6.188869587837116,2.410884742031282,2
6.375452001722036,3.259536329618273,5.717099291973239,2.3630323342033765,2
6.466413459308539,2.942123954201466,5.409644004163085,1.8273145135881246,2
5.963779504486469,3.2383169522572754,4.840880986415091,1.760093553542227,2
6.994776798696512,3.0437771213015057,5.214652708014396,2.2175081469730933,2
6.546853307868043,3.15720199813757,5.655705090717911,2.451078493149396,2
6.813883803290827,2.906582197788239,5.191014486420519,2.1702292461333843,2
5.941032050590434,2.7425564899050654,5.008793262656547,1.8407746281342319,2
6.829761683698293,3.2868727557347843,5.860435105600327,2.199201350648662,2
6.675054365676019,3.22621818842897,5.697688047527845,2.426294555219559,2
6.58346443217341,2.797975476775593,5.281564244231308,2.3274470089183423,2
6.249355697091171,2.612822379456582,5.005924948231645,1.862047898841127,2
6.507353721548217,3.0860163916433807,5.140892018344159,2.0177207731692866,2
6.088848305194674,3.436339343192226,5.308259574349948,2.3310946034800146,2
5.901397429016458,2.9276839768081926,5.177601338987718,1.7996870018684108,2
4.975698297713434,3.5803363011075655,1.2707085704407515,0.2461259990602872,0
4.865875179372643,2.8985619070963,1.438450851976108,0.14039242844096556,0
4.698001568432304,3.2171564750245527,1.2454791292893939,0.2124063540618619,0
4.549996646497648,3.171167880781034,1.3690254397211523,0.21458193244291562,0
4.883583814679404,3.908923150411749,1.2985769414779962,0.2310647868089873,0
5.359294581662261,3.845650710058293,1.662842905555507,0.4105720182929689,0
4.8215069175729655,3.3613634748241297,1.4437723990834799,0.3424863993556773,0
5.002243954025289,3.35180260494942,1.6169700282878712,0.2016663042816283,0
4.2753459274465975,2.7589930893646186,1.4427059097712087,0.2715156354050932,0
4.951539747951728,3.19284930127,1.4826094123203617,0.10744269434403383,0
5.441190244850262,3.8018545120178477,1.5151755140461471,0.18075843308153566,0
4.743481086369098,3.2685226622046653,1.6232476564662262,0.2656780192180508,0
4.776044875063736,2.9563701526966244,1.4820946491742866,0.01624528958726147,0
4.275354845289995,3.08335336085108,1.0720984153995063,0.2347564228300372,0
